celltype	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	setting	q	discovery	mix_q	mix_discovery
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.2827173	0.20492482	0.13286713	1.1206409	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.8481519000000001	False	0.53146852	False
basophil	71.0	1000.0	0.95804197	-1.449644	0.43156844	0.21063556	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
bladder cell	1012.0	1000.0	0.43456542	0.10205782	0.7832168	-0.77524287	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9493536969696971	False
bladder urothelial cell	1420.0	1000.0	0.91808194	-1.3146148	0.09490509	1.3568841	1.0	1.0	2.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
brain pericyte	484.0	1000.0	0.17182817	0.9622117	0.5014985	-0.092751935	0.0	2.0	3.0	UKB_460K.mental_NEUROTICISM	scDRS	0.6651413032258064	False	0.8648494285714287	False
bronchial smooth muscle cell	2117.0	1000.0	0.37362638	0.32234055	0.6273726	-0.41758573	0.0	0.0	4.0	UKB_460K.mental_NEUROTICISM	scDRS	0.9539396936170212	False	0.8754036279069767	False
bulge keratinocyte	2604.0	1000.0	0.25774226	0.59220505	0.8071928	-0.85887945	0.0	1.0	3.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7930531076923076	False	0.9590409504950496	False
chondrocyte	275.0	1000.0	0.42557442	0.058204174	0.09090909	1.4444392	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.9300699	-1.4069743	0.38261738	0.27934027	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
classical monocyte	202.0	1000.0	0.7112887	-0.57559294	0.4035964	0.2924916	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
club cell of bronchiole	22.0	1000.0	0.96803194	-1.5486497	0.8381618	-0.9987754	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9694151884615385	False
dendritic cell	62.0	1000.0	0.92907095	-1.2014768	0.47352648	0.14295162	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
early pro-B cell	72.0	1000.0	0.0979021	1.0599928	0.5264735	-0.0854937	1.0	1.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5107935652173913	False	0.8648494285714287	False
endocardial cell	375.0	1000.0	0.47852147	-0.025422763	0.47452548	0.048987243	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
endothelial cell	4928.0	1000.0	0.013986014	2.3873775	0.07892108	1.4775536	12.0	31.0	73.0	UKB_460K.mental_NEUROTICISM	scDRS	0.15257469818181818	False	0.4750804888888889	False
endothelial cell of coronary artery	2694.0	1000.0	0.045954045	1.7083958	0.52347654	-0.08192039	3.0	10.0	24.0	UKB_460K.mental_NEUROTICISM	scDRS	0.36763236	False	0.8648494285714287	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.33366632	0.29271662	0.9080919	-1.2552902	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.9004329066666666	False	0.9729556071428571	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.001998002	3.9184	0.4235764	0.17667384	0.0	5.0	12.0	UKB_460K.mental_NEUROTICISM	scDRS	0.02997003	True	0.86313688	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.997003	-2.2607214	0.03996004	2.133167	1.0	1.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.37808344615384615	False
enteroendocrine cell	161.0	1000.0	0.24175824	0.6367958	0.021978023	2.147774	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7666018421052632	False	0.263736276	False
ependymal cell	55.0	1000.0	0.62837166	-0.34149072	0.56343657	-0.2602343	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
epidermal cell	492.0	1000.0	0.7872128	-0.82528526	0.10689311	1.3300948	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
epithelial cell	426.0	1000.0	0.8541458	-0.98580766	0.1928072	0.8612057	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.6426906666666667	False
epithelial cell of large intestine	1704.0	1000.0	0.67832166	-0.5193564	0.45054945	0.09878206	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
epithelial cell of proximal tubule	393.0	1000.0	0.8231768	-0.9023991	0.6503497	-0.41751897	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8831168800000001	False
epithelial cell of thymus	165.0	1000.0	0.07992008	1.3024592	0.982018	-2.014306	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.47952048	False	0.982018	False
fenestrated cell	268.0	1000.0	0.5764236	-0.23566219	0.85114884	-1.0233291	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9727415314285714	False
fibroblast	1330.0	1000.0	0.17982018	0.90375787	0.13886113	1.0730325	1.0	3.0	9.0	UKB_460K.mental_NEUROTICISM	scDRS	0.674325675	False	0.5375269548387096	False
fibroblast of cardiac tissue	3926.0	1000.0	0.1988012	0.8865469	0.54345655	-0.19137573	1.0	3.0	11.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7055801142857143	False	0.8648494285714287	False
fibroblast of lung	483.0	1000.0	0.35064936	0.38027242	0.8981019	-1.2396272	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.9147374608695652	False	0.9729556071428571	False
fibrocyte	44.0	1000.0	0.7622378	-0.7355831	0.3126873	0.58507574	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8261303999999999	False
granulocyte	2966.0	1000.0	0.9350649	-1.4066706	0.7512488	-0.6557684	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9272360081632653	False
granulocyte monocyte progenitor cell	250.0	1000.0	0.66233766	-0.47866344	0.35264736	0.24018721	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
granulocytopoietic cell	483.0	1000.0	0.87312686	-1.1193562	0.8941059	-1.0685872	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9729556071428571	False
hematopoietic stem cell	3306.0	1000.0	0.2057942	0.7533552	0.5984016	-0.408178	1.0	2.0	11.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7055801142857143	False	0.8648494285714287	False
hepatocyte	1162.0	1000.0	0.22677323	0.6852428	0.038961038	2.1970708	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7559107666666667	False	0.37808344615384615	False
immature B cell	589.0	1000.0	0.8041958	-0.8625464	0.62637365	-0.35592082	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8754036279069767	False
intermediate monocyte	12.0	1000.0	0.045954045	1.6715683	0.9010989	-1.2487403	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.36763236	False	0.9729556071428571	False
interneuron	240.0	1000.0	0.000999001	7.8039308	0.000999001	5.742528	42.0	58.0	79.0	UKB_460K.mental_NEUROTICISM	scDRS	0.01712573142857143	True	0.02997003	True
intestinal crypt stem cell	1579.0	1000.0	0.993007	-2.2448623	0.3846154	0.15917115	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
keratinocyte	1215.0	1000.0	0.7832168	-0.82666695	0.08791209	1.4383154	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
keratinocyte stem cell	35.0	1000.0	0.7012987	-0.5248754	0.10689311	1.3257304	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
kidney collecting duct epithelial cell	445.0	1000.0	0.8881119	-1.1515476	0.0979021	1.3169919	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
kidney collecting duct principal cell	157.0	1000.0	0.9440559	-1.3423516	0.41958043	0.18497166	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
kidney interstitial fibroblast	16.0	1000.0	0.65634364	-0.4075382	0.31668332	0.49198225	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8261303999999999	False
kidney loop of Henle ascending limb epithelial cell	146.0	1000.0	0.9480519	-1.4352803	0.6413586	-0.33723652	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8831168800000001	False
large intestine goblet cell	1587.0	1000.0	0.9440559	-1.4400178	0.28971028	0.39060888	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.7901189454545455	False
late pro-B cell	411.0	1000.0	0.7512488	-0.69239444	0.9190809	-1.2064486	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9760151150442478	False
leukocyte	158.0	1000.0	0.9440559	-1.4835407	0.7212787	-0.5017407	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9015983750000001	False
luminal epithelial cell of mammary gland	768.0	1000.0	0.3126873	0.35748357	0.4885115	-0.22188549	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.8933922857142857	False	0.8648494285714287	False
lung macrophage	9.0	1000.0	0.989011	-1.8064233	0.84015983	-0.8817685	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9694151884615385	False
lung neuroendocrine cell	4.0	1000.0	0.077922076	1.444228	0.8831169	-1.4800068	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.47952048	False	0.9729556071428571	False
lymphocyte	10.0	1000.0	0.8251748	-0.90097743	0.4225774	0.37641898	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
lymphoid progenitor cell	13.0	1000.0	0.7012987	-0.5248782	0.9440559	-1.359381	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.982018	False
macrophage	2447.0	1000.0	0.5564436	-0.18981539	0.0959041	1.2894211	0.0	1.0	7.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
mature NK T cell	199.0	1000.0	0.8521479	-1.0185081	0.5354645	-0.056961324	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
mature alpha-beta T cell	330.0	1000.0	0.75924075	-0.6746597	0.08591408	1.3402566	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
medium spiny neuron	103.0	1000.0	0.000999001	9.336183	0.008991009	2.413615	103.0	103.0	103.0	UKB_460K.mental_NEUROTICISM	scDRS	0.01712573142857143	True	0.15413158285714285	False
megakaryocyte-erythroid progenitor cell	80.0	1000.0	0.44755244	0.031819575	0.40959042	0.30189458	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
mesangial cell	93.0	1000.0	0.8881119	-1.2250718	0.37762237	0.39718446	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
mesenchymal stem cell	1429.0	1000.0	0.2007992	0.8232862	0.6053946	-0.28707325	0.0	0.0	5.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7055801142857143	False	0.8648494285714287	False
mesenchymal stem cell of adipose	4733.0	1000.0	0.30669332	0.45457578	0.44055945	-0.0071092844	1.0	4.0	13.0	UKB_460K.mental_NEUROTICISM	scDRS	0.8933922857142857	False	0.8648494285714287	False
microglial cell	13268.0	1000.0	0.74125874	-0.67729676	0.10689311	1.2439965	2.0	4.0	19.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
monocyte	1281.0	1000.0	0.8901099	-1.128537	0.8871129	-1.1060375	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9729556071428571	False
mucus secreting cell	73.0	1000.0	0.6813187	-0.5168798	0.5974026	-0.29850245	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
myeloid cell	2556.0	1000.0	0.8141858	-0.8693624	0.21678321	0.6520619	2.0	4.0	8.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.6845785578947369	False
myeloid dendritic cell	373.0	1000.0	0.8321678	-1.0119952	0.7932068	-0.8414199	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9518481599999999	False
myeloid leukocyte	209.0	1000.0	0.8471528	-1.0163014	0.95904094	-1.991108	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.982018	False
naive B cell	2959.0	1000.0	0.8881119	-1.2037284	0.5894106	-0.26879153	0.0	0.0	2.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
neuroepithelial cell	151.0	1000.0	0.043956045	1.8995146	0.015984016	2.0215714	3.0	3.0	5.0	UKB_460K.mental_NEUROTICISM	scDRS	0.36763236	False	0.21312021333333334	False
neuron	484.0	1000.0	0.000999001	13.861746	0.000999001	8.068932	241.0	268.0	294.0	UKB_460K.mental_NEUROTICISM	scDRS	0.01712573142857143	True	0.02997003	True
neuronal stem cell	97.0	1000.0	0.000999001	4.2641487	0.24075924	0.6631416	5.0	7.0	14.0	UKB_460K.mental_NEUROTICISM	scDRS	0.01712573142857143	True	0.7251285365853659	False
neutrophil	153.0	1000.0	0.94105893	-1.4624459	0.7082917	-0.50065094	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.9015983750000001	False
non-classical monocyte	149.0	1000.0	0.8471528	-1.0542825	0.962038	-1.8444089	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.982018	False
oligodendrocyte	2094.0	1000.0	0.004995005	2.655727	0.2017982	0.6469283	12.0	30.0	96.0	UKB_460K.mental_NEUROTICISM	scDRS	0.05994006	True	0.6544806486486486	False
oligodendrocyte precursor cell	312.0	1000.0	0.000999001	6.0397673	0.000999001	5.8944016	83.0	112.0	158.0	UKB_460K.mental_NEUROTICISM	scDRS	0.01712573142857143	True	0.02997003	True
pancreatic A cell	521.0	1000.0	0.05294705	1.7621373	0.07292707	1.597425	0.0	1.0	3.0	UKB_460K.mental_NEUROTICISM	scDRS	0.3807956823529412	False	0.4750804888888889	False
pancreatic B cell	1342.0	1000.0	0.003996004	3.2778633	0.15084915	1.0287132	22.0	55.0	132.0	UKB_460K.mental_NEUROTICISM	scDRS	0.053280053333333334	True	0.5656843125	False
pancreatic D cell	191.0	1000.0	0.08891109	1.4329698	0.04095904	1.7520105	0.0	0.0	2.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5080633714285715	False	0.37808344615384615	False
pancreatic PP cell	71.0	1000.0	0.0979021	1.3681296	0.66233766	-0.42325282	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5107935652173913	False	0.8831168800000001	False
pancreatic acinar cell	576.0	1000.0	0.73926073	-0.80038524	0.4765235	-0.13946752	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
pancreatic ductal cell	313.0	1000.0	0.46853146	-0.05397102	0.08291708	1.3820513	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.4750804888888889	False
pancreatic stellate cell	48.0	1000.0	0.74325675	-0.6836044	0.16383617	0.9350875	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.5888229176470589	False
pericyte cell	38.0	1000.0	0.45954046	0.05210939	0.5894106	-0.16919728	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
plasma cell	25.0	1000.0	0.978022	-1.9028925	0.5494506	-0.0044610566	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
plasmacytoid dendritic cell	6.0	1000.0	0.13286713	1.0606233	0.13086914	0.6164344	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5694305571428572	False	0.53146852	False
precursor B cell	856.0	1000.0	0.42757243	0.16664623	0.013986014	2.3270786	1.0	3.0	4.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.20979021	False
proerythroblast	107.0	1000.0	0.83916086	-0.96231997	0.24775225	0.67592424	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.7251285365853659	False
professional antigen presenting cell	130.0	1000.0	0.11788212	0.9960812	0.5854146	-0.25267243	1.0	1.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5440713230769231	False	0.8648494285714287	False
promonocyte	1015.0	1000.0	0.84815186	-1.0593693	0.65634364	-0.4199775	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8831168800000001	False
pulmonary interstitial fibroblast	50.0	1000.0	0.07092907	1.535925	0.16683316	0.9750912	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.47286046666666665	False	0.5888229176470589	False
regulatory T cell	47.0	1000.0	0.33766234	0.3149517	0.5804196	-0.098346725	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.9004329066666666	False	0.8648494285714287	False
respiratory basal cell	34.0	1000.0	0.4065934	0.15640526	0.36563435	0.3922208	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.86313688	False
secretory cell	563.0	1000.0	0.969031	-1.7682759	0.5334665	-0.14792565	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8648494285714287	False
skeletal muscle satellite cell	2725.0	1000.0	0.5284715	-0.16472425	0.6813187	-0.5244953	1.0	1.0	2.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.8886765652173914	False
smooth muscle cell	103.0	1000.0	0.16383617	0.9335309	0.27972028	0.58325356	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.65534468	False	0.7806147348837209	False
smooth muscle cell of the pulmonary artery	111.0	1000.0	0.4775225	-0.039963577	0.24275725	0.7650539	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.7251285365853659	False
smooth muscle cell of trachea	125.0	1000.0	0.12787212	1.0671967	0.75724274	-0.69952065	0.0	0.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5683205333333333	False	0.9272360081632653	False
stromal cell	340.0	1000.0	0.33366632	0.39436528	0.121878125	1.1048857	0.0	0.0	2.0	UKB_460K.mental_NEUROTICISM	scDRS	0.9004329066666666	False	0.5223348214285715	False
thymocyte	1625.0	1000.0	0.053946055	1.8091702	0.9300699	-1.1310523	5.0	7.0	16.0	UKB_460K.mental_NEUROTICISM	scDRS	0.3807956823529412	False	0.9790209473684212	False
type I pneumocyte	4.0	1000.0	0.1028971	1.3421549	0.47452548	0.051590927	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.5144855	False	0.8648494285714287	False
type II pneumocyte	167.0	1000.0	0.7212787	-0.6322589	0.971029	-1.8888763	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.982018	False
valve cell	315.0	1000.0	0.58641356	-0.30540368	0.976024	-1.8886721	1.0	1.0	1.0	UKB_460K.mental_NEUROTICISM	scDRS	0.997003	False	0.982018	False
vein endothelial cell	152.0	1000.0	0.24275725	0.64092773	0.9080919	-1.379949	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.7666018421052632	False	0.9729556071428571	False
ventricular myocyte	147.0	1000.0	0.14785215	1.0383935	0.17382617	1.0496373	0.0	0.0	0.0	UKB_460K.mental_NEUROTICISM	scDRS	0.611802	False	0.59597544	False
B cell	5629.0	1000.0	0.7932068	-0.836991	0.21478522	0.56478995	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.9614627878787879	False	0.6047286133333333	False
Bergmann glial cell	54.0	1000.0	0.43056944	0.14763083	0.33466533	0.52662176	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.7176157333333334	False	0.6924110275862069	False
Brush cell of epithelium proper of large intestine	175.0	1000.0	0.33866134	0.3992704	0.9440559	-1.4986302	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.6566567641791045	False	0.9692003389830509	False
CD4-positive, alpha-beta T cell	1170.0	1000.0	0.76423573	-0.7749356	0.064935066	1.459558	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.9602768659793814	False	0.35964035555555557	False
CD8-positive, alpha-beta T cell	1070.0	1000.0	0.996004	-2.2821953	0.5784216	-0.23665167	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.8187267272727273	False
DN4 thymocyte	1756.0	1000.0	0.971029	-1.8290906	0.36863136	0.22154498	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.7069401176470589	False
Kupffer cell	262.0	1000.0	0.18181819	0.872203	0.2857143	0.48522055	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.54545457	False	0.6460206666666667	False
NK cell	877.0	1000.0	0.976024	-1.7308329	0.41858143	0.12332237	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.7159037746478873	False
T cell	1329.0	1000.0	0.96803194	-1.6479372	0.23276724	0.64887094	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.6072188869565217	False
adventitial cell	289.0	1000.0	0.1918082	0.8843856	0.6003996	-0.22423917	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5613898536585367	False	0.8187267272727273	False
aortic endothelial cell	467.0	1000.0	0.012987013	2.319972	0.8321678	-0.9532592	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.155844156	False	0.922970814159292	False
astrocyte	592.0	1000.0	0.21278721	0.8172334	0.13086914	1.1788332	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5938247720930233	False	0.45896958857142856	False
atrial myocyte	403.0	1000.0	0.005994006	3.5822735	0.002997003	3.0114	0.0	0.0	2.0	PASS_Coronary_Artery_Disease	scDRS	0.11988011999999999	False	0.11988011999999999	False
basal cell	2139.0	1000.0	0.5004995	-0.042262685	0.007992008	3.129582	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.8007991999999999	False	0.134865135	False
basal cell of epidermis	4214.0	1000.0	0.987013	-2.117134	0.84115887	-0.9706293	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.922970814159292	False
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.34765235	0.16433811	0.36963037	0.27177566	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.6566567641791045	False	0.7069401176470589	False
basophil	71.0	1000.0	0.5994006	-0.34237	0.52147853	-0.027279012	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.8730093176470587	False	0.8068853846153846	False
bladder cell	1012.0	1000.0	0.17582418	0.9588628	0.977023	-1.5730665	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5409974769230769	False	0.978022	False
bladder urothelial cell	1420.0	1000.0	0.6183816	-0.3499156	0.06593407	1.7077698	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.8730093176470587	False	0.35964035555555557	False
brain pericyte	484.0	1000.0	0.000999001	4.265965	0.001998002	4.1799426	0.0	0.0	5.0	PASS_Coronary_Artery_Disease	scDRS	0.05994006	True	0.11988011999999999	False
bronchial smooth muscle cell	2117.0	1000.0	0.1028971	1.3057142	0.038961038	2.1210957	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5297928	False	0.311688304	False
bulge keratinocyte	2604.0	1000.0	0.955045	-1.6196774	0.26373628	0.5662323	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.997003	False	0.6460206666666667	False
chondrocyte	275.0	1000.0	0.55344653	-0.26962125	0.32367632	0.3945761	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.836163825	False	0.6924110275862069	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.13286713	1.1247683	0.2907093	0.47679743	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5297928	False	0.6460206666666667	False
classical monocyte	202.0	1000.0	0.051948052	1.7255759	0.34465533	0.42783603	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.43956044	False	0.7009938915254237	False
club cell of bronchiole	22.0	1000.0	0.16383617	0.7398889	0.05294705	1.6092502	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.5409974769230769	False	0.32967033	False
dendritic cell	62.0	1000.0	0.6703297	-0.503624	0.6343656	-0.32749444	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.9172849483146067	False	0.8456760913043478	False
early pro-B cell	72.0	1000.0	0.7692308	-0.7266561	0.8631369	-1.2067689	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.9602768659793814	False	0.922970814159292	False
endocardial cell	375.0	1000.0	0.36663336	0.2258102	0.007992008	2.454085	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.6566567641791045	False	0.134865135	False
endothelial cell	4928.0	1000.0	0.010989011	2.35684	0.07992008	1.5130095	0.0	0.0	2.0	PASS_Coronary_Artery_Disease	scDRS	0.155844156	False	0.35964035555555557	False
endothelial cell of coronary artery	2694.0	1000.0	0.007992008	2.752571	0.014985015	2.6435833	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.13700585142857144	False	0.17982018000000002	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.3026973	0.4370395	0.8001998	-0.80176556	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.6566567641791045	False	0.9145140571428572	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.35764235	0.27812868	0.4005994	0.2522229	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.6566567641791045	False	0.7069401176470589	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.55744255	-0.19312723	0.010989011	3.0360973	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.836163825	False	0.14652014666666668	False
enteroendocrine cell	161.0	1000.0	0.5224775	-0.15443842	0.3856144	0.24518463	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.8142506493506494	False	0.7069401176470589	False
ependymal cell	55.0	1000.0	0.062937066	1.5947706	0.54845154	-0.2181252	0.0	0.0	0.0	PASS_Coronary_Artery_Disease	scDRS	0.472027995	False	0.8125207999999999	False
