celltype	pvalue	q	trait	discovery	z
mature NK T cell	2.11628158506949e-06	1.1041469139493e-05	UKB_460K.blood_PLATELET_COUNT	True	4.599622954274496
DN4 thymocyte	2.51966938202738e-06	1.25983469101369e-05	UKB_460K.blood_PLATELET_COUNT	True	4.563143323628459
CD8-positive, alpha-beta T cell	4.78470635029484e-06	2.29665904814152e-05	UKB_460K.blood_PLATELET_COUNT	True	4.426680913131115
CD4-positive, alpha-beta T cell	6.20705467239558e-06	2.86479446418257e-05	UKB_460K.blood_PLATELET_COUNT	True	4.370185392911671
endothelial cell of coronary artery	6.54433165865891e-06	2.90859184829285e-05	UKB_460K.blood_PLATELET_COUNT	True	4.358617517558609
endothelial cell of hepatic sinusoid	8.66893266046861e-06	3.71525685448655e-05	UKB_460K.blood_PLATELET_COUNT	True	4.296675574267119
respiratory basal cell	1.41209310056503e-05	5.84314386440702e-05	UKB_460K.blood_PLATELET_COUNT	True	4.187198655379805
NK cell	2.64358360592785e-05	0.0001057433442371	UKB_460K.blood_PLATELET_COUNT	True	4.042556034116823
lymphoid progenitor cell	3.91935630452558e-05	0.0001517170182397	UKB_460K.blood_PLATELET_COUNT	True	3.9492784453122614
Kupffer cell	4.44081285182285e-05	0.0001665304819433	UKB_460K.blood_PLATELET_COUNT	True	3.919273571330116
lung macrophage	0.0001362748460253	0.0004890728032799	UKB_460K.blood_PLATELET_COUNT	True	3.640083452786057
neutrophil	0.0001385706275959	0.0004890728032799	UKB_460K.blood_PLATELET_COUNT	True	3.635779559739462
late pro-B cell	0.0001490159349033	0.0005109117768115	UKB_460K.blood_PLATELET_COUNT	True	3.617004721211635
lymphocyte	0.0004205402136149	0.0014018007120499	UKB_460K.blood_PLATELET_COUNT	True	3.338909229828448
plasmacytoid dendritic cell	0.0005389926675618	0.0017480843272275	UKB_460K.blood_PLATELET_COUNT	True	3.2693403949060276
naive B cell	0.0006551882117607	0.0020690154055603	UKB_460K.blood_PLATELET_COUNT	True	3.2136975056948605
intestinal crypt stem cell	0.0008180253754832	0.002517001155333	UKB_460K.blood_PLATELET_COUNT	True	3.1494018137421986
B cell	0.0014554740595868	0.0043374850399468	UKB_460K.blood_PLATELET_COUNT	True	2.976988623126622
pericyte cell	0.0014819740553151	0.0043374850399468	UKB_460K.blood_PLATELET_COUNT	True	2.971452404888631
smooth muscle cell	0.0016795693410499	0.0047987695458569	UKB_460K.blood_PLATELET_COUNT	True	2.9328058608380294
granulocytopoietic cell	0.0018361997700154	0.0051242784279499	UKB_460K.blood_PLATELET_COUNT	True	2.9050112041454943
brain pericyte	0.0019721319813843	0.0053785417674117	UKB_460K.blood_PLATELET_COUNT	True	2.8825852459106502
