Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
CRYBB2	1415	1	0.0493421829057201	True	0.035157767550836806	68.0	False
TACR1	6869	1	0.0493421829057201	True	0.03474353293411806	69.0	False
CNTFR	1271	1	0.0493421829057201	True	0.033671283729230055	70.0	False
FBXO41	150726	1	0.0493421829057201	True	0.03364375639544723	71.0	False
SRSF12	135295	1	0.0493421829057201	True	0.032959635702233994	72.0	False
STMN4	81551	1	0.0493421829057201	True	0.03280168980066115	73.0	False
CHST14	113189	1	0.0493421829057201	True	0.032483046431842015	74.0	False
TEX47	219557	1	0.0493421829057201	True	0.032357477602856545	75.0	False
OLFM2	93145	1	0.0493421829057201	True	0.03227897691504813	76.0	False
DISP2	85455	1	0.0493421829057201	True	0.031521692556340734	77.0	False
SCRN1	9805	1	0.0493421829057201	True	0.03146859894702331	78.0	False
CASKIN1	57524	1	0.0493421829057201	True	0.031048345615756	79.0	True
NICN1	84276	1	0.0493421829057201	True	0.030896382565808195	80.0	False
NDN	4692	1	0.0493421829057201	True	0.030616119332994286	81.0	False
PCNX2	80003	1	0.0493421829057201	True	0.03050892558743179	82.0	False
DISP3	57540	1	0.0493421829057201	True	0.030281505511674005	83.0	False
FAM171B	165215	1	0.0493421829057201	True	0.029932747792804342	84.0	False
S1PR5	53637	1	0.0493421829057201	True	0.029911220227264473	85.0	False
SHD	56961	1	0.0493421829057201	True	0.029764052107534095	86.0	False
HJV	148738	1	0.0493421829057201	True	0.02976098734529711	87.0	False
PDCL2	132954	1	0.0493421829057201	True	0.0295582286228845	88.0	False
PRRT2	112476	1	0.0493421829057201	True	0.02884898567321191	89.0	False
MAP1A	4130	1	0.0493421829057201	True	0.028633349640546757	90.0	True
TMEM151A	256472	1	0.0493421829057201	True	0.028427061476510137	91.0	False
BEND4	389206	1	0.0493421829057201	True	0.028277776823362046	92.0	False
ANKRD34A	284615	1	0.0493421829057201	True	0.027817057459464067	93.0	False
TUB	7275	1	0.0493421829057201	True	0.027021164114887444	94.0	False
DLEU7	220107	1	0.0493421829057201	True	0.026957275971455797	95.0	False
HCN1	348980	1	0.0493421829057201	True	0.02657732039517599	96.0	True
NTRK3	4916	1	0.0493421829057201	True	0.026468263465154424	97.0	True
SERPINE2	5270	1	0.0493421829057201	True	0.026350383861442436	98.0	False
CXXC4	80319	1	0.0493421829057201	True	0.026152384568062265	99.0	False
KCNB1	3745	1	0.0493421829057201	True	0.025983734912982507	100.0	True
NMUR2	56923	1	0.0493421829057201	True	0.025973623710812296	101.0	False
DUSP26	78986	1	0.0493421829057201	True	0.025721095423618362	102.0	False
CHRNA3	1136	1	0.0493421829057201	True	0.025263767430070125	103.0	False
CDH2	1000	1	0.0493421829057201	True	0.025249002408581717	104.0	True
ZNF365	22891	1	0.0493421829057201	True	0.02513469179887606	105.0	False
DZANK1	55184	1	0.0493421829057201	True	0.025086205012207843	106.0	False
CNTN2	6900	1	0.0493421829057201	True	0.02480496006272026	107.0	False
CIB2	10518	1	0.0493421829057201	True	0.024715585009588502	108.0	True
VWA7	80737	1	0.0493421829057201	True	0.024661001454155146	109.0	True
CNTNAP5	129684	1	0.0493421829057201	True	0.024595523889381164	110.0	True
VGF	7425	1	0.0493421829057201	True	0.024504501299347534	111.0	False
PROKR2	128674	1	0.0493421829057201	True	0.024470922795592723	112.0	False
MTCL3	387104	1	0.0493421829057201	True	0.024071477540772584	113.0	False
CALHM5	254228	1	0.0493421829057201	True	0.02373410602260029	114.0	False
SV2A	9900	1	0.0493421829057201	True	0.023734007439818836	115.0	False
STK32C	282974	1	0.0493421829057201	True	0.023557207298498917	116.0	False
STXBP5L	9515	1	0.0493421829057201	True	0.023474233749543525	117.0	False
SLITRK3	22865	1	0.0493421829057201	True	0.023353886567460312	118.0	False
