cell_type	beta	se	z	p	q	sig_pct	trait	discovery
plasmacytoid dendritic cell	13.942657242597203	8.1632342303435	1.707982014134919	0.0502481054331886	0.1773462544700774	0.0	hair_color	False
myeloid leukocyte	14.174335124823422	7.511899053790171	1.886917678649007	0.0572549103183656	0.1807317063347023	0.0	hair_color	False
valve cell	11.215464361113142	6.958611753642523	1.6117387717804987	0.0568807577917952	0.1807317063347023	0.0	hair_color	False
CD8-positive, alpha-beta T cell	16.14389040887915	9.161593603992587	1.7621268860740238	0.0587378045587782	0.1807317063347023	0.0	hair_color	False
proerythroblast	11.63338874048829	5.286840248781543	2.200442644955923	0.055698035778197	0.1807317063347023	0.0	hair_color	False
epithelial cell of thymus	9.815781104903255	4.021435016941607	2.4408652790735337	0.0536418264770501	0.1807317063347023	0.0	hair_color	False
club cell of bronchiole	5.819215188579136	3.732322324806504	1.5591405784817427	0.079213316230487	0.2376399486914611	0.0	hair_color	False
fenestrated cell	16.552849379145123	10.74026678052876	1.5411953648259564	0.0856675213563283	0.2507342088477903	0.0	hair_color	False
skeletal muscle satellite cell	13.252031121076662	9.31336419960208	1.4229048533979658	0.100743887457319	0.287839678449483	0.0	hair_color	False
vein endothelial cell	14.477639193428413	11.09948532779037	1.304352297955652	0.1084292684031343	0.3025933071715378	0.0	hair_color	False
mesenchymal stem cell of adipose	8.780896386833465	5.645945002128963	1.5552571595228752	0.1144065098990534	0.3120177542701457	0.0	hair_color	False
enterocyte of epithelium of large intestine	7.633991296490706	4.887684127555637	1.561883112178224	0.1199549518952352	0.3198798717206272	0.0	hair_color	False
oligodendrocyte precursor cell	4.355715922062741	3.889043662267548	1.1199966625016224	0.1353303224295316	0.3530356237292129	0.0	hair_color	False
fibrocyte	8.754242243252223	4.592821491888457	1.9060706493194648	0.1417696487208374	0.3619650605638402	0.0	hair_color	False
Brush cell of epithelium proper of large intestine	10.39021594352472	7.319436438377768	1.4195376967885167	0.1562674117219631	0.3906685293049079	0.0	hair_color	False
precursor B cell	11.65983443284278	10.33749737626455	1.1279165554725448	0.1661548608296083	0.4069098632561837	0.0	hair_color	False
smooth muscle cell of trachea	4.591276615881169	2.419762522385169	1.8974079371043115	0.1700167722114539	0.4080402533074894	0.0	hair_color	False
hematopoietic stem cell	6.540032106030439	5.84794471259242	1.1183471163719696	0.1964995372527611	0.462351852359438	0.0	hair_color	False
stromal cell	6.800510937666111	6.034186192257727	1.126997199123824	0.2190894261098432	0.5055909833304074	0.0	hair_color	False
aortic endothelial cell	10.803813786066597	8.773525111819902	1.2314108238559027	0.2349777024231188	0.5221726720513752	0.0	hair_color	False
chondrocyte	3.155163550927456	3.3317243988249503	0.94700616654854	0.2329698170112991	0.5221726720513752	0.0	hair_color	False
leukocyte	7.984742955793863	4.467849612146166	1.7871557122439334	0.2497664159495771	0.5449449075263502	0.0	hair_color	False
regulatory T cell	9.224487838274392	9.905625593577444	0.9312372803849276	0.2543779735702415	0.5450956576505176	0.0	hair_color	False
